SQL_title,SQL_price_inr,SQL_rating,SQL_category_name,PANDAS_title,PANDAS_price_inr,PANDAS_rating,PANDAS_category_name
Princess Between Worlds (Wide-Awake Princess #5),1407.37,5,Fantasy,Princess Between Worlds (Wide-Awake Princess #5),1407.37,5,Fantasy
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1435.86,5,Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1435.86,5,Sequential Art
Sophie's World,1681.67,5,Philosophy,Sophie's World,1681.67,5,Philosophy
Thirst,1821.98,5,Fiction,Thirst,1821.98,5,Fiction
Set Me Free,1842.03,5,Young Adult,Set Me Free,1842.03,5,Young Adult
The Four Agreements: A Practical Guide to Personal Freedom,1863.13,5,Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,1863.13,5,Spirituality
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",2172.24,5,Default,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",2172.24,5,Default
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,2438.1,5,Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,2438.1,5,Nonfiction
The Elephant Tree,2513.01,5,Thriller,The Elephant Tree,2513.01,5,Thriller
Chase Me (Paris Nights #2),2665.98,5,Romance,Chase Me (Paris Nights #2),2665.98,5,Romance
